"path_03"	"X770286.BAL.LUL.Inv.V1"	"X770328.BAL.RML.Inv.V1"	"X770328.BAL.RUL.Inv.V2"	"X770341.BAL.RUL.inv.V1"	"X770341.BAL.RUL.Inv.V1"	"X770359.BAL.RLL.Inv.V1"	"X770359.BAL.RLL.Inv.V2"	"X770365.BAL.RUL.Inv.V1"	"X770384.BAL.LUL.Inv.V1"	"X770389.BAL.RML.Inv.V1"	"X770396.BAL.RUL.Inv.V1"	"X770396.UNIV.0234.BAL.RML.Inv.V2"	"X770402.BAL.RUL.Inv.V1"	"X770402.BAL.RUL.Inv.V2"	"X770406.BAL.LLL.Inv.V1"	"X770418.BAL.LUL.Inv.V1"	"X770420.BAL.LUL.inv.V1"	"X770450.BAL.LLL.inv.V1"	"X770464.BAL.LLL.Inv.V1"	"X770467.BAL.RML.Inv.V1"	"X770468.BAL.Lingula.Inv.V1"	"X770468.BAL.RML.inv.V1"	"X770468.BAL.RML.Inv.V2"	"X770471.BAL.RML.Inv.V1"	"X770473.BAL.RLL.Inv.V1"	"X770476.BAL.RML.Inv.V1"	"X770478.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V2"	"X770485.BAL.RML.Inv.V2"	"X770485.NYU.2829.BAL.Right.inv.V3"	"X770492.BAL.LUL.Inv.V1"	"X770493.BAL.LUL.Inv.V1"	"X770505.BAL.RML.Inv.V1"	"X770505.BAL.RUL.Inv.V2"	"X770513.BAL.RUL.Inv.V1"	"X770530.BAL.LUL.Inv.V1"	"X770543.BAL.RLL.Inv.V1"	"X770548.BAL.LLL.Inv.V1"	"X770551.BAL.RUL.Inv.V1"	"X770553.BAL.LUL.Inv.V1"	"X770559.BAL.RUL.Inv.V2"	"X770569.BAL.RLL.Inv.V1"	"X770572.BAL.RLL.Inv.V1"	"X770595.BAL.RLL.Inv.V1"	"X770596.BAL.RUL.Inv.V1"	"X770602.BAL.LLL.Inv.V1"	"X770610.BAL.LUL.Inv.V1"	"X770616.BAL.RML.Inv.V1"	"X770618.BAL.RUL.Inv.V1"	"X770633.BAL.RUL.Inv.V1"	"X770634.BAL.Lingula.Uninv.V1"	"X770634.BAL.RML.Inv.V1"	"X770635.BAL.RML.Inv.V1"	"X770637.BAL.RML.Inv.V1"	"X770642.BAL.Lingula.Inv.V1"	"X770653.BAL.LUL.Inv.V1"	"X770660.BAL.Lingula.Inv.V1"	"X770665.BAL.RUL.Inv.V1"	"X770666.BAL.Lingula.Inv.V1"	"X770668.BCI.0007.BAL.LUL.Inv.V1"	"X770676.BCI.0008.BAL.LUL.Inv.V1"	"X770682.BAL.RUL.INV.V1"	"X770688.BAL.LLL.Inv.V1"	"X770693.BAL.RUL.Inv.V1"	"X770697.BAL.RUL.Inv.V1"	"X770702.BAL.RUL.Inv.V1"	"X770704.BAL.LUL.Inv.V1"	"X770705.BAL.Lingula.Inv.V1"	"X770708.BAL.RUL.Inv.V1"	"X770713.BAL.RUL.Inv.V1"	"X770733.BAL.LUL.Inv.V1"	"X770745.BAL.RUL.Inv.V1"	"X770750.BAL.RLL.Inv.V1"	"X770753.BAL.RLL.Inv.V1"	"X770755.BAL.RLL.Inv.V1"	"X770758.BAL.RUL.INV.V1"	"X770761.BAL.RUL.Inv.V1"	"X770767.BAL.RML.Inv.V2"	"X770767.BAL.RUL.Inv.V1"	"X770767.BKG.V1"	"X770767.Supraglottic.V1"	"X770777.BAL.RUL.Inv.V1"	"X770777.BKG.V1"	"X770777.Supraglottic.V1"	"X770779.BAL.RML.Inv.V2"	"X770779.BAL.RUL.Inv.V1"	"X770779.BKG.V2"	"X770779.Supraglottic.V1"	"X770779.Supraglottic.V2"	"X770780.BAL.LUL.Inv.V1"	"X770780.Supraglottic.V1"	"X770785.BAL.RUL.Inv.V1"	"X770785.Supraglottic.V1"	"X770798.BAL.LUL.Inv.V1"	"X770798.Supraglottic.V1"	"X770800.LC2790.BAL.RUL.Inv.V1"	"X770800.LC2790.BKG.V1"	"X770800.LC2790.Supraglottic.V1"	"X770803.BAL.RUL.Inv.V1"	"X770805.BAL.RLL.Inv.V1"	"X770808.BCI.0016.BAL.RML.Inv.V1"	"X770842.BAL.RML.Inv.V1"	"X770842.BKG.V1"	"X770842.Supraglottic.V1"	"X770844.BAL.RLL.Inv.V1"	"X770844.BKG.V1"	"X770844.Supraglottic.V1"	"X770861.BAL.RUL.Inv.V1"	"X770861.BKG.V1"	"X770861.Supraglottic.V1"	"X770862.BCI.0017.BAL.RML.Inv.V1"	"X770862.BCI.0017.Supraglottic.V1"	"X770863.BAL.Lingula.Inv.V1"	"X770863.Supraglottic.V1"	"X770864.BAL.RML.Inv.V1"	"X770864.Supraglottic.V1"	"X770870.BAL.RML.Inv.V1"	"X770870.Supraglottic.V1"	"X770882.LCL.011.BAL.RUL.Inv.V1"	"X770882.LCL.011.Supraglottic.V1"	"X770920.BCI.019.BAL.RUL.Inv.V1"	"X770925.BAL.RLL.Inv.V1"	"X770927.BAL.RUL.Inv.V1"	"X770929.BAL.RML.Inv.V1"	"X770944.BAL.RML.Inv.V1"	"X770944.BKG.V1"	"X770944.Supraglottic.V1"	"X770946.BAL.RML.Inv.V1"	"X770946.BKG.V1"	"X770946.Supraglottic.V1"	"X770947.BAL.RML.Inv.V1"	"X770947.BKG.V1"	"X770947.Supraglottic.V1"	"X770955.BAL.RML.Inv.V1"	"X770962.BAL.RLL.Inv.V1"	"X770962.Supraglottic.V1"	"X770973.BAL.LUL.Inv.V1"	"X770978.BAL.RUL.Inv.V1"	"UNIV.0042.BAL.RUL.Inv.V1"	"UNIV.0044.BAL.RUL.Inv.V1"	"UNIV.0172.BAL.RLL.Inv.V1"	"UNIV.0311.LC.BAL.RLL.Inv.V1"	"UNIV.0384.BAL.LLL.Inv.V1"	"UNIV.0402.BAL.RML.UnInv.V1"	"UNIV.0419.BAL.LUL.Inv.V1"
"'processing and CCA adding factors"	22122	7624	9802	0	5016	16216	10006	42300	6448	20960	2448	3728	9652	164	4254	30876	928	1386	3632	12540	3910	12874	10230	4976	3308	4948	29648	8014	0	2824	2516	4972	8704	3952	6898	9964	964	4256	4628	7432	7196	4560	7652	1144	6252	4740	10356	9984	5596	5032	7478	3484	5344	18476	24	3334	124	5494	34970	20556	816	5510	12100	1044	7180	10672	6182	13428	1044	2548	7892	21308	19974	1464	690	10120	2166	4220	10832	8282	0	324	6698	0	0	4200	722	0	92	0	1726	28	2788	0	3866	12	4016	0	318	10008	4506	5094	4952	0	0	4180	0	4	25814	0	88	5664	320	12006	100	4074	1652	60	90	250	0	11459	9270	502	1112	11732	0	8	14112	0	100	7024	0	0	15460	5052	26	16264	31968	17184	22480	0	5364	40	0	7424
"'processing factors"	10474	8088	6428	0	4	9174	2652	10232	3396	4290	5056	4724	9762	0	2674	5576	112	7284	2752	14900	2496	5468	2778	1360	6122	786	4124	8194	3276	15314	1632	980	5376	130	8398	5917	10863	166	4876	3490	3456	592	4370	116	8018	2892	5380	1034	5564	6944	8562	2538	6234	8182	1338	2398	24	5430	66	12724	12370	5375	19330	1571	3597	7830	7077	10876	2222	7240	7508	24150	2549	17712	9176	8784	19591	2686	2096	6480	0	0	3678	0	116	327	498	0	4	0	3442	146	15523	0	1010	0	4960	0	572	15750	1868	11794	2736	0	0	4772	0	0	6640	0	6	2712	0	1114	470	6538	48	5806	156	650	0	10545	1134	7512	1210	6284	0	14	6216	0	94	2966	0	0	4682	1414	0	5433	8390	252	5664	4	48	4	4	6258
"A Estrogen receptor"	20	0	0	0	0	20	152	0	0	22	176	4	0	0	0	182	0	0	4	1018	190	680	422	0	86	0	1068	1186	0	0	0	0	264	218	88	496	0	18	594	58	206	0	1006	0	0	0	774	538	248	0	14	0	224	908	0	0	8	76	4	576	8	102	282	0	0	40	376	1672	4	4	66	0	834	0	1398	750	4	0	18	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	64	0	0	0	0	0	156	0	4	0	0	0	70	16	0	46	0	14	24	0	0	0	226	22	148	0	94	0	0	1126	0	0	0	0	0	342	0	0	52	874	676	932	0	0	22	8	670
"A Fushi tarazu-F1 like receptor"	0	0	0	0	0	30	0	0	0	0	48	0	4	0	0	0	0	0	388	46	0	0	4	0	0	0	0	0	0	4	0	4	126	0	0	0	0	0	0	0	24	0	284	0	0	0	0	0	0	2	0	0	0	0	164	0	0	0	0	8	0	12	0	0	0	0	0	0	0	0	8	58	6	0	0	500	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	2	0	0	1978	0	24	0	0	0	0	0	0	0	0	0	0	0	1782	0	0	14	0	0	0	0	72	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2
"A Germ cell nuclear factor receptor"	0	0	0	0	0	300	44	22	158	66	0	58	2	0	0	0	0	2	0	106	6	58	0	0	0	0	180	0	0	0	0	0	90	0	0	0	34	0	0	0	4	0	0	0	0	0	316	0	22	0	0	0	0	0	0	0	0	0	0	298	0	28	4	0	392	0	0	168	0	0	102	30466	0	2	0	120	42	30	104	86	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	56	28	0	0	16	0	0	8	2	0	66	82	0	50	0	4	0	142	0	876	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0
"A Hepatocyte nuclear factor 4 receptor"	0	0	1696	0	0	158	384	0	656	878	4	32	0	0	4	0	12	0	8	648	0	4	2	0	108	0	0	0	0	4	398	0	1984	0	112	16	0	0	4	0	832	0	0	0	1084	1018	446	636	256	78	560	136	72	0	0	12	0	0	0	572	3714	284	6	4	216	204	0	0	0	0	1072	28	48	0	0	328	188	0	1244	88	0	0	72	0	0	0	40	0	0	0	154	0	1194	0	0	0	648	0	128	8	2	524	0	28	0	488	0	0	4272	0	0	166	0	4	0	2876	2	2154	0	0	0	10	44	648	450	0	0	0	254	0	0	4	0	0	12	0	0	0	78	0	0	4	0	0	0	0
"A Nerve growth factor IB like receptor"	0	12956	6030	12	292	9018	19126	3268	4458	27262	3796	694	11562	0	50	1370	6962	5352	4036	30192	5846	14529	734	96	1302	1454	568	11748	2436	4	326	248	5632	132	504	8659	5328	17260	13310	4824	22096	13282	1330	438	8882	4812	25284	6064	11262	510	6224	296	278	162	8	27770	440	4748	698	34290	970	55337	7830	1610	5226	9986	1042	352	4	412	12618	55103	6390	560	28	8290	1670	2578	2524	4950	0	12	1326	0	212	304	538	0	0	0	370	118	14851	0	2604	22	776	0	256	4270	514	2040	1370	0	164	4660	0	296	1558	0	24	3512	0	5734	9917	1508	934	4	86	398	0	5214	4530	14348	342	32	0	150	6789	0	0	1784	0	0	958	406	0	2338	3388	1742	654	16	16	0	0	718
"A Thyroid hormone receptor (THR)"	334	3292	3228	0	0	4994	3658	4232	1120	1674	2	84	1216	0	102	534	4	516	2	5928	86	2618	882	500	1124	0	204	2136	66	12582	626	130	3904	6662	4580	1022	572	150	580	1360	3462	28	368	46	12765	66	2668	1254	2596	108	21449	1904	2892	958	12	186	3198	2090	268	3516	1392	3450	3298	2112	4148	1954	1906	1222	4	2588	5168	15126	14860	830	3012	3288	5620	6526	1940	4284	0	0	1108	0	304	544	1446	0	0	0	1758	2	3841	0	2270	0	4492	0	116	2620	144	12066	38	0	84	1812	0	0	4142	0	0	1410	0	994	106	1626	86	1708	132	14	0	2566	3884	2612	1914	244	0	378	2350	0	0	1600	0	0	1396	1308	10	122	834	406	1474	428	2188	4566	0	7200
"AAA proteases"	2624	4	1800	0	4	3230	4014	8485	4050	6352	452	7956	3448	0	660	850	340	986	2080	5986	2090	7084	7806	4114	794	3313	5604	6988	2	538	1202	698	2564	2678	11450	2538	1975	3262	290	5400	2368	2862	2370	0	2336	3582	3026	178	2598	12763	1064	1094	3044	24576	12	344	280	3028	506	8032	1078	2218	26922	0	516	1754	566	10113	144	602	4422	9852	176	1202	212	3254	6146	1624	1260	1718	0	0	1416	0	218	178	24	0	62	0	3312	100	476	0	2164	2	3138	0	852	666	326	3004	3836	0	0	2396	0	58	3482	0	0	1260	0	276	1246	4184	4	680	26	4	0	7482	3212	2792	74	6606	0	186	5658	0	0	3848	0	0	5898	1356	0	114	8420	3094	7940	0	110	148	0	2190
"ABC transporters"	19583	63154	72566	1306	20582	48791	87132	59977	23527	44880	30200	23481	59490	277	17468	39050	106737	57991	119680	54179	43194	100121	50235	19636	14806	6437	87799	66527	18300	10740	10082	12814	347864	33916	168519	24776	12526	109355	130830	60099	79880	20866	58973	29426	25962	35960	95150	32717	44450	38906	110354	20986	66210	90080	4848	22254	3136	37852	10295	158532	48802	103283	59906	10233	40494	128335	33482	43663	18558	32924	188523	146783	18820	32605	34876	154418	68136	49131	34958	66636	20	162	42782	0	2362	2978	12163	0	82	0	23219	1786	50264	10	7890	32	27986	10	18380	28904	3118	81292	13646	0	204	111608	8	1146	51450	0	108	52562	30	19986	6028	79846	5313	26750	1352	1956	14	67193	14242	68495	8860	36644	0	2974	66954	4	1422	40052	0	0	55131	15872	0	35984	107813	32356	98248	812	64222	1138	1670	40824
