taxa	taxid	superkingdom	clade	kingdom	family	genus
Homo sapiens	9606	Eukaryota	Opisthokonta	Metazoa	Hominidae	Homo
Blastomyces percursus	1658174	Eukaryota	Opisthokonta	Fungi	Ajellomycetaceae	Blastomyces
Aspergillus thermomutatus	41047	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Malassezia restricta	76775	Eukaryota	Opisthokonta	Fungi	Malasseziaceae	Malassezia
Rhizophagus irregularis	588596	Eukaryota	Opisthokonta	Fungi	Glomeraceae	Rhizophagus
Salmonella enterica	28901	Bacteria	NA	NA	Enterobacteriaceae	Salmonella
Escherichia coli	562	Bacteria	NA	NA	Enterobacteriaceae	Escherichia
Escherichia albertii	208962	Bacteria	NA	NA	Enterobacteriaceae	Escherichia
Klebsiella pneumoniae	573	Bacteria	NA	NA	Enterobacteriaceae	Klebsiella
Klebsiella variicola	244366	Bacteria	NA	NA	Enterobacteriaceae	Klebsiella
Enterobacter hormaechei	158836	Bacteria	NA	NA	Enterobacteriaceae	Enterobacter
Enterobacter sp. T2	2707174	Bacteria	NA	NA	Enterobacteriaceae	Enterobacter
Cronobacter sakazakii	28141	Bacteria	NA	NA	Enterobacteriaceae	Cronobacter
Edwardsiella ictaluri	67780	Bacteria	NA	NA	Hafniaceae	Edwardsiella
Proteus mirabilis	584	Bacteria	NA	NA	Morganellaceae	Proteus
Dickeya fangzhongdai	1778540	Bacteria	NA	NA	Pectobacteriaceae	Dickeya
Pseudomonas marginalis	298	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas fluorescens	294	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas aeruginosa	287	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas lurida	244566	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Acinetobacter johnsonii	40214	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter baumannii	470	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter haemolyticus	29430	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter radioresistens	40216	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. NEB 394	2743575	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Moraxella osloensis	34062	Bacteria	NA	NA	Moraxellaceae	Moraxella
Shewanella sp. Scap07	2589987	Bacteria	NA	NA	Shewanellaceae	Shewanella
Pseudoalteromonas sp. Scap06	2589991	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. Scap25	2589992	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Stenotrophomonas indicatrix	2045451	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Stenotrophomonas maltophilia	40324	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Xanthomonas campestris	339	Bacteria	NA	NA	Lysobacteraceae	Xanthomonas
Haemophilus parainfluenzae	729	Bacteria	NA	NA	Pasteurellaceae	Haemophilus
Glaesserella parasuis	738	Bacteria	NA	NA	Pasteurellaceae	Glaesserella
Aeromonas veronii	654	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Piscirickettsia salmonis	1238	Bacteria	NA	NA	Piscirickettsiaceae	Piscirickettsia
Bartonella krasnovii	2267275	Bacteria	NA	NA	Bartonellaceae	Bartonella
Bradyrhizobium sp. ISRA463	2866199	Bacteria	NA	NA	Nitrobacteraceae	Bradyrhizobium
Agrobacterium tumefaciens	358	Bacteria	NA	NA	Rhizobiaceae	Agrobacterium
Mesorhizobium terrae	2725666	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Brucella sp. 1315	2975050	Bacteria	NA	NA	Brucellaceae	Brucella
Pararhodospirillum photometricum	1084	Bacteria	NA	NA	Rhodospirillaceae	Pararhodospirillum
Acetobacter ascendens	481146	Bacteria	NA	NA	Acetobacteraceae	Acetobacter
Paracoccus sanguinis	1545044	Bacteria	NA	NA	Paracoccaceae	Paracoccus
Burkholderia cenocepacia	95486	Bacteria	NA	NA	Burkholderiaceae	Burkholderia
Burkholderia contaminans	488447	Bacteria	NA	NA	Burkholderiaceae	Burkholderia
Paraburkholderia fungorum	134537	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Paraburkholderia dioscoreae	2604047	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Paraburkholderia phytofirmans	261302	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Neisseria gonorrhoeae	485	Bacteria	NA	NA	Neisseriaceae	Neisseria
Plantactinospora sp. BB1	2071627	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Plantactinospora
Plantactinospora sp. BC1	2108470	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Plantactinospora
Mycobacterium avium	1764	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycobacterium intracellulare	1767	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycobacterium tuberculosis	1773	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycobacterium stomatepiae	470076	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycolicibacterium aubagnense	319707	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Mycolicibacterium vanbaalenii	110539	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Mycobacteroides abscessus	36809	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacteroides
Prescottella equi	43767	Bacteria	Terrabacteria group	NA	Nocardiaceae	Prescottella
Rhodococcus sp. JS3073	3002901	Bacteria	Terrabacteria group	NA	Nocardiaceae	Rhodococcus
Nocardia seriolae	37332	Bacteria	Terrabacteria group	NA	Nocardiaceae	Nocardia
Corynebacterium simulans	146827	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium amycolatum	43765	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium matruchotii	43768	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium durum	61592	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium accolens	38284	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium tuberculostearicum	38304	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium hindlerae	699041	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Streptomyces caniscabiei	2746961	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. RLB1-8	2594453	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. A10(2020)	2782013	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. WZ-12	3030210	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces fradiae	1906	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Cutibacterium acnes	1747	Bacteria	Terrabacteria group	NA	Propionibacteriaceae	Cutibacterium
Nocardioides marinisabuli	419476	Bacteria	Terrabacteria group	NA	Nocardioidaceae	Nocardioides
