taxa	taxid	superkingdom	clade	kingdom	family	genus
Homo sapiens	9606	Eukaryota	Opisthokonta	Metazoa	Hominidae	Homo
Aspergillus flavus	5059	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus niger	5061	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus steynii	306088	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus carbonarius	40993	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus thermomutatus	41047	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus lentulus	293939	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus clavatus	5057	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus tubingensis	5068	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus campestris	41068	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Aspergillus sydowii	75750	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Penicillium rubens	1108849	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Penicillium
Talaromyces marneffei	37727	Eukaryota	Opisthokonta	Fungi	Trichocomaceae	Talaromyces
Coccidioides posadasii	199306	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Coccidioides immitis	5501	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Coccidioides
Uncinocarpus reesii	33188	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Uncinocarpus
Amauroascus niger	89421	Eukaryota	Opisthokonta	Fungi	Onygenaceae	Amauroascus
Blastomyces dermatitidis	5039	Eukaryota	Opisthokonta	Fungi	Ajellomycetaceae	Blastomyces
Histoplasma capsulatum	5037	Eukaryota	Opisthokonta	Fungi	Ajellomycetaceae	Histoplasma
Cladophialophora carrionii	86049	Eukaryota	Opisthokonta	Fungi	Herpotrichiellaceae	Cladophialophora
Exophiala oligosperma	215243	Eukaryota	Opisthokonta	Fungi	Herpotrichiellaceae	Exophiala
Fonsecaea pedrosoi	40355	Eukaryota	Opisthokonta	Fungi	Herpotrichiellaceae	Fonsecaea
Fusarium oxysporum	5507	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Fusarium odoratissimum	2502994	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Fusarium circinatum	48490	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Fusarium graminearum	5518	Eukaryota	Opisthokonta	Fungi	Nectriaceae	Fusarium
Epichloe glyceriae	79591	Eukaryota	Opisthokonta	Fungi	Clavicipitaceae	Epichloe
Epichloe festucae	35717	Eukaryota	Opisthokonta	Fungi	Clavicipitaceae	Epichloe
Claviceps purpurea	5111	Eukaryota	Opisthokonta	Fungi	Clavicipitaceae	Claviceps
Trichoderma atroviride	63577	Eukaryota	Opisthokonta	Fungi	Hypocreaceae	Trichoderma
Trichoderma virens	29875	Eukaryota	Opisthokonta	Fungi	Hypocreaceae	Trichoderma
Trichoderma reesei	51453	Eukaryota	Opisthokonta	Fungi	Hypocreaceae	Trichoderma
Colletotrichum graminicola	31870	Eukaryota	Opisthokonta	Fungi	Glomerellaceae	Colletotrichum
Verticillium dahliae	27337	Eukaryota	Opisthokonta	Fungi	Plectosphaerellaceae	Verticillium
