	770286-BAL-LUL-Inv-V1_S126_L003	770286-BAL-LUL-Inv-V1_S126_L004	770328-BAL-RML-Inv-V1_S127_L003	770328-BAL-RML-Inv-V1_S127_L004	770328-BAL-RUL-Inv-V2_S116_L003	770328-BAL-RUL-Inv-V2_S116_L004	770341-BAL-RUL-Inv-V1_S130_L003	770341-BAL-RUL-Inv-V1_S130_L004	770341-BAL-RUL-inv-V1_S56_L001	770341-BAL-RUL-inv-V1_S56_L002	770359-BAL-RLL-Inv-V1_S32_L001	770359-BAL-RLL-Inv-V1_S32_L002	770359-BAL-RLL-Inv-V2_S112_L003	770359-BAL-RLL-Inv-V2_S112_L004	770365-BAL-RUL-Inv-V1_S22_L001	770365-BAL-RUL-Inv-V1_S22_L002	770384-BAL-LUL-Inv-V1_S78_L003	770384-BAL-LUL-Inv-V1_S78_L004	770389-BAL-RML-Inv-V1_S107_L003	770389-BAL-RML-Inv-V1_S107_L004	770396-BAL-RUL-Inv-V1_S106_L003	770396-BAL-RUL-Inv-V1_S106_L004	770396-UNIV-0234-BAL-RML-Inv-V2_S26_L001	770396-UNIV-0234-BAL-RML-Inv-V2_S26_L002	770402-BAL-RUL-Inv-V1_S18_L001	770402-BAL-RUL-Inv-V1_S18_L002	770402-BAL-RUL-Inv-V2_S10_L001	770402-BAL-RUL-Inv-V2_S10_L002	770406-BAL-LLL-Inv-V1_S74_L003	770406-BAL-LLL-Inv-V1_S74_L004	770418-BAL-LUL-Inv-V1_S37_L001	770418-BAL-LUL-Inv-V1_S37_L002	770420-BAL-LUL-inv-V1_S50_L001	770420-BAL-LUL-inv-V1_S50_L002	770450-BAL-LLL-inv-V1_S16_L001	770450-BAL-LLL-inv-V1_S16_L002	770464-BAL-LLL-Inv-V1_S41_L001	770464-BAL-LLL-Inv-V1_S41_L002	770467-BAL-RML-Inv-V1_S28_L001	770467-BAL-RML-Inv-V1_S28_L002	770468-BAL-Lingula-Inv-V1_S39_L001	770468-BAL-Lingula-Inv-V1_S39_L002	770468-BAL-RML-inv-V1_S29_L001	770468-BAL-RML-inv-V1_S29_L002	770468-BAL-RML-Inv-V2_S52_L001	770468-BAL-RML-Inv-V2_S52_L002	770471-BAL-RML-Inv-V1_S48_L001	770471-BAL-RML-Inv-V1_S48_L002	770473-BAL-RLL-Inv-V1_S91_L003	770473-BAL-RLL-Inv-V1_S91_L004	770476-BAL-RML-Inv-V1_S53_L001	770476-BAL-RML-Inv-V1_S53_L002	770478-BAL-RUL-Inv-V1_S104_L003	770478-BAL-RUL-Inv-V1_S104_L004	770483-BAL-RUL-Inv-V1_S31_L001	770483-BAL-RUL-Inv-V1_S31_L002	770483-BAL-RUL-Inv-V2_S124_L003	770483-BAL-RUL-Inv-V2_S124_L004	770485-BAL-RML-Inv-V2_S98_L003	770485-BAL-RML-Inv-V2_S98_L004	770485-NYU-2829-BAL-Right-inv-V3_S73_L003	770485-NYU-2829-BAL-Right-inv-V3_S73_L004	770492-BAL-LUL-Inv-V1_S95_L003	770492-BAL-LUL-Inv-V1_S95_L004	770493-BAL-LUL-Inv-V1_S82_L003	770493-BAL-LUL-Inv-V1_S82_L004	770505-BAL-RML-Inv-V1_S122_L003	770505-BAL-RML-Inv-V1_S122_L004	770505-BAL-RUL-Inv-V2_S111_L003	770505-BAL-RUL-Inv-V2_S111_L004	770513-BAL-RUL-Inv-V1_S101_L003	770513-BAL-RUL-Inv-V1_S101_L004	770530-BAL-LUL-Inv-V1_S6_L001	770530-BAL-LUL-Inv-V1_S6_L002	770543-BAL-RLL-Inv-V1_S54_L001	770543-BAL-RLL-Inv-V1_S54_L002	770548-BAL-LLL-Inv-V1_S85_L003	770548-BAL-LLL-Inv-V1_S85_L004	770551-BAL-RUL-Inv-V1_S51_L001	770551-BAL-RUL-Inv-V1_S51_L002	770553-BAL-LUL-Inv-V1_S109_L003	770553-BAL-LUL-Inv-V1_S109_L004	770559-BAL-RUL-Inv-V2_S123_L003	770559-BAL-RUL-Inv-V2_S123_L004	770569-BAL-RLL-Inv-V1_S80_L003	770569-BAL-RLL-Inv-V1_S80_L004	770572-BAL-RLL-Inv-V1_S71_L001	770572-BAL-RLL-Inv-V1_S71_L002	770595-BAL-RLL-Inv-V1_S24_L001	770595-BAL-RLL-Inv-V1_S24_L002	770596-BAL-RUL-Inv-V1_S117_L003	770596-BAL-RUL-Inv-V1_S117_L004	770602-BAL-LLL-Inv-V1_S34_L001	770602-BAL-LLL-Inv-V1_S34_L002	770610-BAL-LUL-Inv-V1_S2_L001	770610-BAL-LUL-Inv-V1_S2_L002	770616-BAL-RML-Inv-V1_S108_L003	770616-BAL-RML-Inv-V1_S108_L004	770618-BAL-RUL-Inv-V1_S27_L001	770618-BAL-RUL-Inv-V1_S27_L002	770633-BAL-RUL-Inv-V1_S83_L003	770633-BAL-RUL-Inv-V1_S83_L004	770634-BAL-Lingula-Uninv-V1_S72_L001	770634-BAL-Lingula-Uninv-V1_S72_L002	770634-BAL-RML-Inv-V1_S40_L001	770634-BAL-RML-Inv-V1_S40_L002	770635-BAL-RML-Inv-V1_S44_L001	770635-BAL-RML-Inv-V1_S44_L002	770637-BAL-RML-Inv-V1_S113_L003	770637-BAL-RML-Inv-V1_S113_L004	770642-BAL-Lingula-Inv-V1_S43_L001	770642-BAL-Lingula-Inv-V1_S43_L002	770653-BAL-LUL-Inv-V1_S35_L001	770653-BAL-LUL-Inv-V1_S35_L002	770660-BAL-Lingula-Inv-V1_S90_L003	770660-BAL-Lingula-Inv-V1_S90_L004	770665-BAL-RUL-Inv-V1_S92_L003	770665-BAL-RUL-Inv-V1_S92_L004	770666-BAL-Lingula-Inv-V1_S36_L001	770666-BAL-Lingula-Inv-V1_S36_L002	770668_BCI_0007-BAL-LUL-Inv-V1_S81_L003	770668_BCI_0007-BAL-LUL-Inv-V1_S81_L004	770676-BCI-0008-BAL-LUL-Inv-V1_S7_L001	770676-BCI-0008-BAL-LUL-Inv-V1_S7_L002	770682-BAL-RUL-INV-V1_S118_L003	770682-BAL-RUL-INV-V1_S118_L004	770688-BAL-LLL-Inv-V1_S5_L001	770688-BAL-LLL-Inv-V1_S5_L002	770693-BAL-RUL-Inv-V1_S115_L003	770693-BAL-RUL-Inv-V1_S115_L004	770697-BAL-RUL-Inv-V1_S102_L003	770697-BAL-RUL-Inv-V1_S102_L004	770702-BAL-RUL-Inv-V1_S84_L003	770702-BAL-RUL-Inv-V1_S84_L004	770704-BAL-LUL-Inv-V1_S1_L001	770704-BAL-LUL-Inv-V1_S1_L002	770705-BAL-Lingula-Inv-V1_S129_L003	770705-BAL-Lingula-Inv-V1_S129_L004	770708-BAL-RUL-Inv-V1_S121_L003	770708-BAL-RUL-Inv-V1_S121_L004	770713-BAL-RUL-Inv-V1_S33_L001	770713-BAL-RUL-Inv-V1_S33_L002	770733-BAL-LUL-Inv-V1_S30_L001	770733-BAL-LUL-Inv-V1_S30_L002	770745-BAL-RUL-Inv-V1_S9_L001	770745-BAL-RUL-Inv-V1_S9_L002	770750-BAL-RLL-Inv-V1_S96_L003	770750-BAL-RLL-Inv-V1_S96_L004	770753-BAL-RLL-Inv-V1_S119_L003	770753-BAL-RLL-Inv-V1_S119_L004	770755-BAL-RLL-Inv-V1_S87_L003	770755-BAL-RLL-Inv-V1_S87_L004	770758-BAL-RUL-INV-V1_S3_L001	770758-BAL-RUL-INV-V1_S3_L002	770761-BAL-RUL-Inv-V1_S94_L003	770761-BAL-RUL-Inv-V1_S94_L004	770767-BAL-RML-Inv-V2_S46_L001	770767-BAL-RML-Inv-V2_S46_L002	770767-BAL-RUL-Inv-V1_S100_L003	770767-BAL-RUL-Inv-V1_S100_L004	770767-BKG-V1_S67_L001	770767-BKG-V1_S67_L002	770767-Supraglottic-V1_S61_L002	770777-BAL-RUL-Inv-V1_S89_L003	770777-BAL-RUL-Inv-V1_S89_L004	770777-BKG-V1_S68_L001	770777-BKG-V1_S68_L002	770777-Supraglottic-V1_S134_L003	770777-Supraglottic-V1_S134_L004	770779-BAL-RML-Inv-V2_S55_L001	770779-BAL-RML-Inv-V2_S55_L002	770779-BAL-RUL-Inv-V1_S20_L001	770779-BAL-RUL-Inv-V1_S20_L002	770779-BKG-V2_S70_L001	770779-BKG-V2_S70_L002	770779-Supraglottic-V1_S133_L003	770779-Supraglottic-V1_S133_L004	770779-Supraglottic-V2_S141_L003	770779-Supraglottic-V2_S141_L004	770780-BAL-LUL-Inv-V1_S12_L001	770780-BAL-LUL-Inv-V1_S12_L002	770780-Supraglottic-V1_S136_L004	770785-BAL-RUL-Inv-V1_S13_L001	770785-BAL-RUL-Inv-V1_S13_L002	770785-Supraglottic-V1_S63_L002	770798-BAL-LUL-Inv-V1_S86_L003	770798-BAL-LUL-Inv-V1_S86_L004	770798-Supraglottic-V1_S57_L001	770800-LC2790-BAL-RUL-Inv-V1_S14_L001	770800-LC2790-BAL-RUL-Inv-V1_S14_L002	770800-LC2790-BKG-V1_S66_L001	770800-LC2790-BKG-V1_S66_L002	770800-LC2790-Supraglottic-V1_S132_L003	770800-LC2790-Supraglottic-V1_S132_L004	770803-BAL-RUL-Inv-V1_S97_L003	770803-BAL-RUL-Inv-V1_S97_L004	770805-BAL-RLL-Inv-V1_S77_L003	770805-BAL-RLL-Inv-V1_S77_L004	770808-BCI_0016-BAL-RML-Inv-V1_S23_L001	770808-BCI_0016-BAL-RML-Inv-V1_S23_L002	770842-BAL-RML-Inv-V1_S42_L001	770842-BAL-RML-Inv-V1_S42_L002	770842-BKG-V1_S69_L001	770842-BKG-V1_S69_L002	770842-Supraglottic-V1_S62_L001	770844-BAL-RLL-Inv-V1_S75_L003	770844-BAL-RLL-Inv-V1_S75_L004	770844-BKG-V1_S142_L003	770844-BKG-V1_S142_L004	770861-BAL-RUL-Inv-V1_S11_L001	770861-BAL-RUL-Inv-V1_S11_L002	770861-BKG-V1_S143_L003	770861-BKG-V1_S143_L004	770861-Supraglottic-V1_S138_L003	770861-Supraglottic-V1_S138_L004	770862-BCI-0017-BAL-RML-Inv-V1_S93_L003	770862-BCI-0017-BAL-RML-Inv-V1_S93_L004	770862-BCI-0017-Supraglottic-V1_S59_L001	770862-BCI-0017-Supraglottic-V1_S59_L002	770863-BAL-Lingula-Inv-V1_S19_L001	770863-BAL-Lingula-Inv-V1_S19_L002	770863-Supraglottic-V1_S65_L001	770863-Supraglottic-V1_S65_L002	770864-BAL-RML-Inv-V1_S17_L001	770864-BAL-RML-Inv-V1_S17_L002	770864-Supraglottic-V1_S137_L003	770864-Supraglottic-V1_S137_L004	770870-BAL-RML-Inv-V1_S99_L003	770870-BAL-RML-Inv-V1_S99_L004	770870-Supraglottic-V1_S131_L003	770870-Supraglottic-V1_S131_L004	770882-LCL-011-BAL-RUL-Inv-V1_S8_L001	770882-LCL-011-BAL-RUL-Inv-V1_S8_L002	770882-LCL-011-Supraglottic-V1_S58_L001	770882-LCL-011-Supraglottic-V1_S58_L002	770920-BCI-019-BAL-RUL-Inv-V1_S4_L001	770920-BCI-019-BAL-RUL-Inv-V1_S4_L002	770925-BAL-RLL-Inv-V1_S15_L001	770925-BAL-RLL-Inv-V1_S15_L002	770927-BAL-RUL-Inv-V1_S79_L003	770927-BAL-RUL-Inv-V1_S79_L004	770929-BAL-RML-Inv-V1_S110_L003	770929-BAL-RML-Inv-V1_S110_L004	770944-BAL-RML-Inv-V1_S103_L003	770944-BAL-RML-Inv-V1_S103_L004	770944-BKG-V1_S144_L003	770944-BKG-V1_S144_L004	770944-Supraglottic-V1_S135_L003	770944-Supraglottic-V1_S135_L004	770946-BAL-RML-Inv-V1_S21_L001	770946-BAL-RML-Inv-V1_S21_L002	770946-BKG-V1_S145_L003	770946-BKG-V1_S145_L004	770946-Supraglottic-V1_S64_L001	770946-Supraglottic-V1_S64_L002	770947-BAL-RML-Inv-V1_S114_L003	770947-BAL-RML-Inv-V1_S114_L004	770947-BKG-V1_S146_L003	770947-BKG-V1_S146_L004	770947-Supraglottic-V1_S139_L003	770955-BAL-RML-Inv-V1_S38_L001	770955-BAL-RML-Inv-V1_S38_L002	770962-BAL-RLL-Inv-V1_S120_L003	770962-BAL-RLL-Inv-V1_S120_L004	770962-Supraglottic-V1_S140_L003	770962-Supraglottic-V1_S140_L004	770973-BAL-LUL-Inv-V1_S47_L001	770973-BAL-LUL-Inv-V1_S47_L002	770978-BAL-RUL-Inv-V1_S25_L001	770978-BAL-RUL-Inv-V1_S25_L002	UNIV-0042-BAL-RUL-Inv-V1_S88_L003	UNIV-0042-BAL-RUL-Inv-V1_S88_L004	UNIV-0044-BAL-RUL-Inv-V1_S45_L001	UNIV-0044-BAL-RUL-Inv-V1_S45_L002	UNIV-0172-BAL-RLL-Inv-V1_S76_L003	UNIV-0172-BAL-RLL-Inv-V1_S76_L004	UNIV-0311-LC-BAL-RLL-Inv-V1_S125_L003	UNIV-0311-LC-BAL-RLL-Inv-V1_S125_L004	UNIV-0384-BAL-LLL-Inv-V1_S49_L001	UNIV-0384-BAL-LLL-Inv-V1_S49_L002	UNIV-0402-BAL-RML-UnInv-V1_S128_L003	UNIV-0402-BAL-RML-UnInv-V1_S128_L004	UNIV-0419-BAL-LUL-Inv-V1_S105_L003	UNIV-0419-BAL-LUL-Inv-V1_S105_L004
map00010: Glycolysis / Gluconeogenesis	1082	1060	2603	2541	1037	1013	374	339	115757	114532	6929	7083	286	375	1946	1886	611	666	5278	5288	548	506	22715	23005	2087	2001	676	700	3313	3262	663	694	980	931	139953	139428	4040	3970	21930	21845	24765	24885	13989	13783	327	327	3423	3259	258	271	1986	1858	451	493	769	766	4899	4863	4763	4679	81947	80147	995	1037	3109	3118	3428	3343	1963	1979	780	775	405	382	1153	1131	329	289	2682	2663	1675	1677	562	512	2110	2039	3366	3251	1666	1604	201	211	2223	2312	956	996	5974	5890	614	636	2908	2950	6789	6910	403	403	1118	1130	53064	51921	3466	3491	12897	13063	392	404	2573	2581	1327	1247	51487	50369	133	161	1659	1729	3284	3258	617	647	1390	1417	2416	2350	598	649	2023	1970	408	372	417	452	4822	4786	22290	22151	3755	3739	688	725	317	308	8754	8763	743	757	19351	19405	1915	1916	2849	2962	521246	3260	3347	1177	1163	336803	331436	149386	148573	488	466	7775	7763	293798	291029	13364	12996	108383	107221	643849	4641	4507	466908	183721	181593	209462	33717	34056	1712	1757	137978	136085	935	878	187552	184688	4507	4528	1582	1587	1176	1207	755728	82	123	2904	2843	1664	1658	2531	2487	648494	643447	96	110	281639	280892	828	829	246219	245858	266	212	144740	143259	93670	92646	185453	182786	133837	133426	426897	427569	1059	1074	65867	65325	44710	43711	146458	144443	21681	21947	7817	7568	201684	198352	9630	9429	3392	3425	250258	249450	62111	60716	2759	2664	247021	56821	56541	65123	64054	320278	318114	2590	2515	557	608	23300	23323	77100	77342	101354	99767	689	667	122386	122074	2388	2263	129159	127407
map00020: Citrate cycle (TCA cycle)	176	162	1128	1154	229	210	98	100	197269	196196	1973	1924	133	122	781	790	42	50	618	685	625	618	13989	14181	362	318	456	437	1220	1194	352	298	576	544	40079	39656	3664	3699	7676	7597	2916	3021	2452	2370	197	203	1173	1071	139	154	394	383	216	214	407	414	2451	2445	194	199	26515	26249	244	239	1579	1556	3998	3915	1961	1991	591	551	234	244	1087	1063	135	134	1682	1698	874	877	226	199	1963	1928	9665	9733	669	635	218	223	584	558	1223	1222	1793	1643	257	266	311	329	2006	2086	293	279	387	389	30796	29389	8660	8617	8417	8456	265	212	4723	4622	281	300	11076	10958	61	54	1051	1024	578	619	198	200	1158	1071	2191	2139	305	339	395	435	464	462	306	279	1966	1910	605	621	691	709	349	385	150	171	895	931	1571	1611	35678	35818	576	579	3768	3938	149897	403	383	6305	6318	29389	28443	282161	281042	301	283	9065	8907	45184	44416	8002	7770	36860	36343	114436	1676	1574	123931	41028	39616	48010	4626	4658	2196	2270	35835	35432	222	239	48787	47931	288	251	160	195	2489	2483	169100	47	79	4234	4211	1019	1062	4067	4135	128248	126903	35	45	60375	60457	436	428	37492	36713	167	190	26377	26080	40462	40183	44946	43999	29929	29647	98494	98965	264	280	116644	116383	54076	53256	189214	188347	41012	40512	3972	3991	39891	39497	18079	17884	1250	1274	74044	74055	87547	85569	3017	2917	43126	99983	99935	102271	100816	41955	41278	1690	1680	765	743	16004	15529	22485	22324	146013	142965	188	197	229277	228215	7356	7377	203621	201888
map00030: Pentose phosphate pathway	682	643	331	372	148	129	729	698	15679	15595	1606	1703	67	74	698	659	593	543	665	593	125	122	6038	6141	726	709	1173	1174	152	150	110	125	667	642	26276	26394	1939	1777	4422	4531	7615	7622	3524	3512	248	250	447	463	87	95	312	341	193	234	353	385	290	273	307	310	19528	19032	365	426	691	709	603	656	718	749	81	81	169	180	708	727	67	74	189	174	381	407	96	109	457	409	1095	1097	397	390	89	70	423	429	289	301	1501	1474	193	201	1759	1758	1947	1984	117	117	708	694	19510	19285	2937	2962	4200	4211	106	129	2666	2715	677	662	11375	11075	31	36	299	259	824	803	260	244	263	245	103	94	320	370	1632	1554	105	95	127	157	742	705	15323	15183	213	237	46	48	72	81	1177	1151	229	213	3350	3364	466	442	897	890	165444	998	1005	615	597	100046	98086	32891	32563	327	336	7255	7225	51721	51564	8407	8284	12831	12910	287332	692	657	95335	50545	49810	49644	9963	10028	456	451	30739	30142	205	230	54198	53044	155	135	684	733	360	355	190346	31	29	2375	2269	364	357	2720	2540	121354	120642	23	27	76554	76448	612	631	93782	93493	81	71	55678	54822	30638	30356	50348	50344	40633	40631	155068	154072	280	267	15114	15107	6781	6758	25729	26001	3463	3467	354	332	59018	57511	2098	2143	401	394	59453	59072	11403	11228	589	565	49220	9914	9900	8501	8287	37410	36741	1873	1881	184	170	5205	5075	17495	17338	21747	21451	261	254	17761	17681	209	206	22501	21888
map00040: Pentose and glucuronate interconversions	58	44	620	594	18	27	43	31	5848	5718	65	83	34	29	82	98	12	6	72	48	194	233	612	599	56	51	78	72	18	27	30	40	190	189	7642	7754	240	239	398	372	436	377	477	464	45	46	91	87	13	17	133	110	15	14	140	132	34	42	68	55	4186	4096	24	20	89	92	35	34	108	69	15	21	583	562	77	72	24	22	47	51	90	81	12	16	13	31	32	38	276	231	76	65	273	290	117	108	209	194	54	55	89	87	831	874	28	46	27	47	3866	3926	425	390	1087	1061	31	13	33	43	171	174	880	842	12	8	57	56	552	588	18	11	19	13	125	169	29	47	160	163	19	23	44	47	143	130	722	772	453	459	26	28	32	19	282	290	123	158	616	683	96	111	109	129	35341	145	143	113	120	29900	29760	5187	5220	47	50	296	304	8065	8089	2208	2110	48051	48028	74181	60	47	27920	7610	7428	9056	273	277	179	201	5742	5722	138	133	8367	8179	76	88	222	227	159	147	31498	11	3	62	64	58	52	37	38	26512	25754	3	5	14225	14120	322	357	18389	18453	36	40	10372	10411	13558	13498	8885	8769	13672	13627	40873	41101	44	38	2115	2104	4429	4384	6434	6488	961	1002	60	72	14799	14247	382	410	90	104	21766	21605	2233	2258	75	83	5509	2482	2389	2149	2101	6461	6520	1359	1362	44	44	139	118	3466	3433	1857	1762	66	63	4125	4189	40	44	5995	5899
map00051: Fructose and mannose metabolism	161	157	124	120	64	57	54	34	10767	10673	1988	1991	16	12	346	341	123	99	900	844	63	46	4619	4635	187	185	152	167	96	102	71	57	593	549	19264	19038	1572	1467	3051	3074	7082	7210	2615	2540	118	135	495	451	61	72	370	402	41	34	149	136	75	75	118	138	9383	9143	313	371	602	593	158	148	1907	1885	115	114	117	152	153	159	45	31	84	64	239	233	31	35	41	51	309	305	195	195	63	47	226	212	175	162	685	707	153	171	460	432	282	320	93	89	555	561	14134	13853	713	768	1830	1918	54	53	1561	1514	113	135	8210	8086	28	29	93	84	379	412	35	27	247	262	73	60	99	113	1540	1453	36	27	102	113	284	292	5827	5941	492	483	70	59	39	29	1499	1544	123	91	949	875	81	84	250	283	93689	499	499	3159	2996	56968	56388	14019	13777	149	154	5699	5644	42648	42101	6109	6119	13511	13481	126627	649	580	108093	37086	36519	39907	3134	3071	275	267	16634	16553	185	202	26044	25602	172	167	350	387	279	262	154520	12	13	241	240	103	119	179	155	91637	90897	13	5	76132	75104	272	301	41602	41636	70	56	30045	29704	8301	8341	35120	34673	16324	16536	70758	70777	113	107	5687	5675	3755	3752	12408	12487	1573	1551	96	95	50198	49257	547	562	393	451	45382	45016	4899	4886	324	328	42785	6537	6486	3990	4113	32127	32031	134	126	46	47	1882	1820	12009	11674	13285	13122	40	42	9496	9353	51	54	12250	12062
map00052: Galactose metabolism	138	126	1273	1308	80	66	128	126	19437	19196	517	497	13	15	480	458	91	92	123	107	199	245	1689	1680	161	195	121	143	57	44	64	57	239	240	17042	17071	1386	1299	2292	2325	1615	1522	1923	1926	482	504	470	461	1086	1093	262	241	47	46	136	126	555	507	178	163	10013	9652	50	54	409	375	818	828	1033	1012	24	24	904	858	255	272	35	32	310	287	178	167	29	19	83	80	2889	2953	224	204	226	218	526	568	127	120	497	487	458	417	733	739	780	831	59	81	87	82	7966	7755	721	671	795	817	68	79	1593	1586	445	391	10138	10169	13	17	144	135	711	704	137	128	367	366	52	46	60	58	3331	3124	39	31	68	63	723	729	3696	3765	283	281	28	20	86	66	966	924	547	537	2721	2819	168	190	372	392	112068	440	442	275	261	66668	65880	14349	14211	1130	1075	5465	5367	72196	70908	3863	3885	2151	2142	217593	147	150	144047	25427	25072	60298	2337	2321	301	321	19865	19406	824	850	24631	24060	257	281	546	524	223	194	208919	67	71	674	702	98	77	697	720	90819	89540	35	43	94937	94158	388	411	52594	52651	57	54	26844	26403	10593	10664	24292	24280	23119	22886	114528	114339	67	87	6277	6076	5694	5665	18600	18620	2200	2198	270	261	55867	54780	902	938	293	244	72855	72403	10687	10605	1814	1862	28228	4361	4395	7136	7029	28280	28056	147	129	66	46	1452	1451	11523	11385	7727	7608	62	45	9656	9552	317	323	17513	17145
map00053: Ascorbate and aldarate metabolism	356	332	431	461	34	39	72	65	2103	2011	174	184	47	60	107	120	83	109	797	790	28	32	1277	1343	57	55	42	48	149	118	49	61	226	198	14008	14018	302	334	2274	2191	166	155	531	598	46	45	241	220	28	40	1050	973	126	144	226	212	204	179	792	757	17882	17152	81	95	298	313	350	304	149	102	62	44	72	79	58	79	53	51	154	160	140	126	27	25	140	114	51	47	605	568	113	138	59	65	29	35	2212	2285	40	49	77	66	2142	2148	67	70	160	171	1054	1066	344	334	1126	1101	79	70	46	49	150	155	6523	6404	49	54	108	114	53	57	55	57	76	68	61	44	132	132	62	76	38	41	74	93	175	212	394	407	458	434	85	89	132	95	1130	1168	104	90	245	266	232	229	99	106	27252	118	116	35	45	7942	7816	3115	3133	71	72	250	271	5898	5837	652	641	46074	45900	23041	73	81	27404	10097	9825	10634	1574	1660	94	86	8964	8884	209	217	19908	19524	173	158	87	90	74	61	53094	22	36	39	33	52	65	41	39	24131	24034	9	17	14965	15243	25	36	2664	2684	41	31	7731	7674	7485	7596	14230	13861	5201	5144	6542	6598	55	52	826	851	2812	2829	4139	4148	851	855	38	49	11264	10943	334	392	76	70	17974	18006	2887	2866	28	23	6920	1513	1574	1777	1697	10320	10119	233	274	104	114	236	208	3846	3880	1073	1035	47	43	3201	3269	23	15	8177	8063
map00061: Fatty acid biosynthesis	59	77	2687	2795	50	65	81	100	17772	17743	567	589	15	18	571	607	71	76	272	280	32	32	1559	1642	150	147	2659	2627	58	62	32	20	289	262	8179	7966	1010	1053	1042	1021	2446	2424	1040	1113	66	50	2209	2236	25	26	326	326	25	33	122	115	165	213	53	65	10856	10415	85	76	659	625	763	786	207	205	34	42	95	109	813	781	37	35	76	85	174	189	39	56	185	151	570	579	157	113	38	40	463	449	89	106	1062	1023	81	78	208	249	811	803	197	263	63	84	8593	8500	892	896	737	682	46	52	2003	1946	42	37	10595	10548	12	12	67	66	810	735	59	56	85	81	42	33	31	32	150	159	26	17	174	147	457	408	2533	2480	859	874	59	59	13	23	1250	1208	93	129	2905	2977	25	26	280	284	56449	181	174	58	62	29119	28903	16312	15993	122	95	3804	3931	16515	16556	398	484	19003	18888	123445	636	575	22250	25528	25098	20132	4855	4841	315	309	15888	15826	38	39	14547	14253	79	88	258	261	602	606	63958	15	8	311	360	486	442	287	335	54683	53773	13	8	33870	33871	993	1028	28422	28384	39	31	37415	36927	7300	7142	23887	23570	46111	45899	113135	113289	290	275	9970	9803	8015	7798	20178	19666	3264	3197	202	214	33723	33198	1287	1295	161	147	22349	21907	10014	9956	77	106	12028	7420	7228	11550	11664	10158	10160	2747	2664	25	45	638	599	10643	10778	11434	11120	152	158	21277	21296	1307	1235	16722	16536
map00062: Fatty acid elongation	14	14	5	2	11	11	2	2	0	1	2	1	2	4	2	4	0	0	4	3	0	2	23	22	3	6	0	0	1	2	7	6	2	5	0	0	32	44	0	4	3	1	6	3	2	1	5	1	5	2	27	23	8	9	13	15	1	0	1	1	1	0	5	2	2	2	8	3	511	497	1	4	2	2	0	0	3	6	5	4	4	4	0	0	13	4	3	2	1	3	3	8	1	3	8	2	1	1	2	4	3	4	0	0	3	4	8	10	1	1	4	2	199	209	4	8	98	99	12	14	570	567	0	0	14	28	0	0	1	2	5	11	4	6	7	12	1	2	4	3	3	1	12	12	8	9	3	0	0	1	2	1	9	4	8	4	0	0	1	1	1	1	1	11	13	1	2	2	4	3	2	2	1	0	2	41	31	2	0	3	1	1	16	19	0	2	2	0	8	9	4	10	1	1	14	13	2	1	4	0	3	4	2	3	0	0	0	0	1	3	5	0	0	12	19	3	3	46	44	1	2	2	4	1	1	858	867	0	0	1	1	0	1	2	1	3	4	2	6	4	0	0	0	7	8	1	0	2	1	7	4	1	0	1	1	1	1	0	0	0	9	11	1	1	1	0	2	1	13	17	10	4	6	13	0	1	2	2	3	3	0	0	9	8
map00071: Fatty acid degradation	203	199	1163	1128	142	160	400	413	65521	65481	537	522	123	131	214	218	161	197	1033	1034	42	57	3255	3264	281	259	155	157	188	153	112	99	369	333	13701	13765	1002	1075	2978	2926	1132	1073	590	600	83	93	466	420	53	54	1182	1106	142	168	339	340	1436	1296	829	811	18619	17887	434	459	836	848	900	835	825	809	105	125	272	279	227	232	79	65	244	214	86	71	194	204	193	176	7537	7559	721	657	61	95	209	239	101	140	2497	2534	124	140	204	171	2326	2351	118	132	282	290	4434	4347	3918	3973	1391	1458	130	123	1767	1717	199	208	10002	9773	58	61	173	213	304	353	91	100	549	561	80	72	153	192	270	286	327	294	176	190	1448	1460	1169	1144	797	774	122	108	146	142	1215	1248	784	763	9203	9297	257	259	886	904	45921	339	356	194	235	20296	19926	76825	76474	162	145	852	855	14318	13986	1468	1478	3920	3818	25776	121	119	39542	14267	14000	30598	1818	1917	561	584	12051	11882	378	395	23106	22649	240	219	194	193	1692	1706	54631	33	58	206	202	509	516	6331	6114	33246	33442	19	27	55680	55125	222	242	11767	11619	78	72	22689	22398	3187	3253	29078	28652	7362	7361	17381	17528	156	130	27089	26629	19534	18819	61696	60970	11002	10808	6963	6794	27406	26683	5171	5127	888	823	16779	16872	35585	35135	3181	3095	17871	32634	32675	30207	29702	17843	17619	2587	2682	350	396	268	224	8939	9112	25981	25210	100	103	70784	70840	10300	10258	52143	51553
